الوحدة التدريبية,المرحلة التدريبية,القسم,التخصص,فعالية البرنامج,المقررات,الوحدات المعتمدة,الفصل التدريبي,عدد المقررات المطلوبة,عدد الوحدات المطلوبة,المقرر,اسم المقرر,محاضرة,عملي
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,تقنية البرمجة وتطوير الويب,برامج مفعله,25,73,الفصل التدريبي الرابع ,6,17,برمج-483,اختبار البرمجيات والجودة الشام,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,تقنية البرمجة وتطوير الويب,برامج مفعله,25,73,الفصل التدريبي الرابع ,6,17,برمج-492,مشروع التخرج,1,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,تقنية البرمجة وتطوير الويب,برامج مفعله,25,73,الفصل التدريبي الرابع ,6,17,برمج-492,مشروع التخرج,1,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الأول ,7,17,انجل-301,لغة انجليزية1,4,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الأول ,7,17,حاسب-302,تصميم الخوارزميات وبنية البيان,2,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الأول ,7,17,حاسب-402,برمجة الحاسب الالي,2,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الأول ,7,17,رياض-301,رياضيات1,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الأول ,7,17,فيزي-301,فيزياء,2,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الأول ,7,17,مبرد-311,ديناميكا حرارية,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الأول ,7,17,مبرد-331,تركيب و بدء تشغيل أنظمة التكييف,0,4
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثالث ,9,21, مبرد-463,المضخات وانظمة الضخ للتكيف,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثالث ,9,21,عامة-401,مقدمة فى الإدارة و القيادة,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثالث ,9,21,عامة-404,أدوات الجودة و تطبيقاتها,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثالث ,9,21,مبرد-335,تصميم أنظمة التبريد التجاري,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثالث ,9,21,مبرد-434,تصميم أنظمة التكييف المركزي,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثالث ,9,21,مبرد-436,الأنظمة الهيدروليكية والنيومات,2,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثالث ,9,21,مبرد-437,تصميم أنظمة التبريد المتقدمة,2,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثالث ,9,21,مبرد-443,إدارة الصيانة بالحاسب الآلي,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثالث ,9,21,مبرد-461,استخدام الطاقة المتجددة في التبريد وتكيف الهواء,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثالث ,9,21,مبرد-462,التحليل الحراري للمباني,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثاني ,8,21, مبرد-484,تحويل الطاقة,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثاني ,8,21,احصا-303,الإحصاء والاحتمالات,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثاني ,8,21,انجل-302,لغة انجليزية 2,4,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثاني ,8,21,رياض-302,رياضيات2,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثاني ,8,21,مبرد-312,انتقال الحرارة,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثاني ,8,21,مبرد-313,ميكانيكا الموائع,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثاني ,8,21,مبرد-342,تطبيقات الحاسب الآلي على أنظمة التبريد وتكيف الهواء,0,4
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثاني ,8,21,مبرد-433,أنظمة التحكم فى التكييف المركزي,2,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الثاني ,8,21,مبرد-483,طرق معالجة المياه,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الرابع ,7,17,عامة-402,إدارة المشاريع الهندسية,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الرابع ,7,17,عامة-405,إقتصاد هندسي,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الرابع ,7,17,مبرد-441,نظم إدارة المباني,2,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الرابع ,7,17,مبرد-471,صيانة و تشخيص أعطال أنظمة التبريد والتكيف,1,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الرابع ,7,17,مبرد-482,الأثر البيئي لصناعة انظمة التدفئة والتهوئة وتكييف الهواء,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الرابع ,7,17,مبرد-491,مشروع التخرج,1,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التبريد وتكييف الهواء,برامج مفعله,31,76,الفصل التدريبي الرابع ,7,17,مبرد-492,تدقيق وإدارة أنظمة الطاقة,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الأول ,7,19,انجل-301,لغة انجليزية1,4,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الأول ,7,19,رياض-301,رياضيات1,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الأول ,7,19,فيزي-301,فيزياء,2,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الأول ,7,19,منتج-323,تقنية أنظمة التحكم,1,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الأول ,7,19,منتج-341,الأستاتيكا ومقاومة المواد,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الأول ,7,19,منتج-344,المواد الهندسية,1,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الأول ,7,19,منتج-483,تخطيط وضبط ا لانتاج,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الثالث ,8,22, منتج-442,تصميم الماكينات,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الثالث ,8,22,عامة-401,مقدمة فى الإدارة و القيادة,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الثالث ,8,22,عامة-402,إدارة المشاريع الهندسية,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الثالث ,8,22,منتج-345,تقنية البلاستيك,2,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الثالث ,8,22,منتج-437,التصنيع المتكامل بالحاسب,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الثالث ,8,22,منتج-441,نظرية الماكينات,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الثالث ,8,22,منتج-453,الصيانة الصناعية,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الثالث ,8,22,منتج-463,تخطيط المصانع,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الثالث ,8,22,منتج-492,مشروع التخرج-1,1,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الثاني ,6,17,احصا-303,الإحصاء والاحتمالات,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الثاني ,6,17,انجل-302,لغة انجليزية 2,4,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الثاني ,6,17,رياض-302,رياضيات2,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الثاني ,6,17,منتج-312,بحوث العمليات,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الثاني ,6,17,منتج-321,أساسيات الكهرباء والالكترونيات,1,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الثاني ,6,17,منتج-374,عمليات التشغيل غير التقليدية,2,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الرابع ,7,18, منتج-472,الروبوتات الصناعية والاتمتة,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الرابع ,7,18,عامة-403,مهارات الإتصال,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الرابع ,7,18,عامة-404,أدوات الجودة و تطبيقاتها,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الرابع ,7,18,عامة-405,إقتصاد هندسي,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الرابع ,7,18,منتج-431,تصميم العدد,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الرابع ,7,18,منتج-451,نظرية تشكيل المعادن,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الرابع ,7,18,منتج-471,التصنيع الرشيق,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية التصنيع,برامج مفعله,28,76,الفصل التدريبي الرابع ,7,18,منتج-493,مشروع التخرج-2,1,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الأول ,8,20,انجل-301,لغة انجليزية1,4,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الأول ,8,20,رياض-301,رياضيات1,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الأول ,8,20,فيزي-301,فيزياء,2,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الأول ,8,20,متمر-313,المحاكاة والتصميم بمساعة الحاسب,0,4
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الأول ,8,20,متمر-314,تطبيقات ميكانيكا الموائع,1,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الأول ,8,20,متمر-341,الديناميكا الحرارية,1,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الأول ,8,20,متمر-342,ميكانيكا المواد,1,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الأول ,8,20,متمر-441,الإستاتيكا,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الثالث ,6,17, متمر-472,التدفئة والتهوية وتكييف الهواء,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الثالث ,6,17,عامة-402,إدارة المشاريع الهندسية,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الثالث ,6,17,عامة-404,أدوات الجودة و تطبيقاتها,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الثالث ,6,17,متمر-332,"انظمة إدارة المحرك المتقدمة و التحكم في انبعاثات
العادم",2,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الثالث ,6,17,متمر-442,ديناميكا السيارات,2,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الثالث ,6,17,متمر-443,تطبيقات الموائع,2,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الثالث ,6,17,متمر-461,الطاقات المتجددة,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الثاني ,7,18,احصا-303,الإحصاء والاحتمالات,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الثاني ,7,18,انجل-302,لغة انجليزية 2,4,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الثاني ,7,18,رياض-302,رياضيات2,3,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الثاني ,7,18,متمر-322,محركات الاحتراق الداخلي,1,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الثاني ,7,18,متمر-352,مبادئ انظمة التحكم,1,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الثاني ,7,18,متمر-412,الضوضاء والاهتزازات في المركبا,2,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الثاني ,7,18,متمر-413,تطبيقات تصميم السيارات بالحاسب,0,4
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الرابع ,7,16, متمر-473,الشاحن التوربيني و قدرة المحرك,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الرابع ,7,16,عامة-405,إقتصاد هندسي,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الرابع ,7,16,متمر-431,تقنية الوقود البديلة والسيارة الهجينة والكهربائية,2,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الرابع ,7,16,متمر-434,تصميم اجزاء السيارة,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الرابع ,7,16,متمر-462,أنظمة التحكم المتقدمة في هيكل وجسم السيارة,2,2
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الرابع ,7,16,متمر-482,مواضيع متقدمة في تكنولوجيا السيارات,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الرابع ,7,16,متمر-483,إدارة ورش السيارات,2,0
الكلية التقنية,بكالوريوس,التقنية الميكانيكية,تقنية المحركات ومركبات,برامج مفعله,28,71,الفصل التدريبي الرابع ,7,16,متمر-491,مشروع التخرج,1,2
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الأول ,5,17,انجل-301,لغة انجليزية1,4,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الأول ,5,17,رياض-301,رياضيات1,3,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الأول ,5,17,فيزي-301,فيزياء,2,2
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الأول ,5,17,مكيم-311,كيمياء عضوية متقدمة,2,4
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الأول ,5,17,مكيم-321,كيمياء فيزيائية متقدمة,2,4
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الثالث ,9,22, نكيم-424,مهارات الكتابة الفنية,2,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الثالث ,9,22, نكيم-461,الطاقة المتجددة,2,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الثالث ,9,22,عامة-402,إدارة المشاريع الهندسية,3,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الثالث ,9,22,عامة-404,أدوات الجودة و تطبيقاتها,3,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الثالث ,9,22,مكيم-322,كيمياء كهربائية,2,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الثالث ,9,22,مكيم-341,حسابات تحليلية كمية,2,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الثالث ,9,22,مكيم-412,ميكانيكية التفاعلات العضوية,2,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الثالث ,9,22,مكيم-413,أطياف المركبات العضوية,2,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الثالث ,9,22,مكيم-414,كيمياء الادوية,2,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الثالث ,9,22,مكيم-423,التآكل,2,4
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الثالث ,9,22,نكيم-444,معالجة المياه,2,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الثاني ,6,17,احصا-303,الإحصاء والاحتمالات,3,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الثاني ,6,17,انجل-302,لغة انجليزية 2,4,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الثاني ,6,17,رياض-302,رياضيات2,3,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الثاني ,6,17,مكيم-331,كيمياء غير عضوية,2,4
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الثاني ,6,17,مكيم-351,تطبيقات الحاسب في الكيمياء,0,4
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الثاني ,6,17,نكيم-341,البتروكيماويات,2,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الرابع ,7,17,عامة-403,مهارات الإتصال,2,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الرابع ,7,17,مكيم-432,كيمياء المركبات العضو معدنية,2,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الرابع ,7,17,مكيم-433,صناعات غير عضوية,2,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الرابع ,7,17,مكيم-434,كيمياء إشعاعية ونووية,2,0
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الرابع ,7,17,مكيم-442,التحليل الآلي,2,4
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الرابع ,7,17,مكيم-491,مشروع التخرج,1,2
الكلية التقنية,بكالوريوس,التقنية الكيميائية,تقنية المختبرات الكيميائية,برامج مفعله,27,73,الفصل التدريبي الرابع ,7,17,نكيم-414,علم البوليمر,3,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,تقنية المساحة,برامج مفعله,26,71,الفصل التدريبي الأول ,7,20,انجل-301,لغة انجليزية1,4,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,تقنية المساحة,برامج مفعله,26,71,الفصل التدريبي الأول ,7,20,حاسب-402,برمجة الحاسب الالي,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,تقنية المساحة,برامج مفعله,26,71,الفصل التدريبي الأول ,7,20,رياض-301,رياضيات1,3,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,تقنية المساحة,برامج مفعله,26,71,الفصل التدريبي الأول ,7,20,فيزي-301,فيزياء,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,تقنية المساحة,برامج مفعله,26,71,الفصل التدريبي الأول ,7,20,يمسح-311,جيوديسيا,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,تقنية المساحة,برامج مفعله,26,71,الفصل التدريبي الأول ,7,20,يمسح-321,صناعة و اسقاط الخرائط,2,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,تقنية المساحة,برامج مفعله,26,71,الفصل التدريبي الأول ,7,20,يمسح-352,معالجة الصور الرقمية,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,تقنية المساحة,برامج مفعله,26,71,الفصل التدريبي الثالث ,7,18, يمسح-454,المسح تحت الأرض,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,تقنية المساحة,برامج مفعله,26,71,الفصل التدريبي الثالث ,7,18, يمسح-481,ادارة الكوارث,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,تقنية المساحة,برامج مفعله,26,71,الفصل التدريبي الثالث ,7,18,عامة-402,إدارة المشاريع الهندسية,3,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,تقنية المساحة,برامج مفعله,26,71,الفصل التدريبي الثالث ,7,18,يمسح-341,تحليل المعلومات الجغرافية,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,تقنية المساحة,برامج مفعله,26,71,الفصل التدريبي الثالث ,7,18,يمسح-361,الاستشعار عن بعد,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,تقنية المساحة,برامج مفعله,26,71,الفصل التدريبي الثالث ,7,18,يمسح-434,تكنولوجيا الويب,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,تقنية المساحة,برامج مفعله,26,71,الفصل التدريبي الثالث ,7,18,يمسح-462,تكنولوجيا تحديد المواقع في الأماكن المغلقة,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,تقنية المساحة,برامج مفعله,26,71,الفصل التدريبي الثالث ,7,18,يمسح-472,نظرية الاخطاء و ضبط الارصاد,2,0
